name,latitude,longitude
Ruparel College Back Gate,19.0257912,72.8441894
Ruparel College IT Building,19.0259375,72.8444375
"Kirti M. Doongursee College of Arts, Science and Commerce",19.0208503,72.8311362
Multidisciplinary Research Unit Seth GS medical college,19.000375,72.8422088
Seth GS Medical College Gymkhana,19.0024531,72.8422882
"Navneet College of Arts, Science & Commerce",18.9688125,72.8190625
Bhavans College,18.9573884,72.8089566
Principal K. M. Kundnani College of Pharmacy,18.9160689,72.8241245
"M D College of Arts, Science and Commerce",18.9985341,72.8409755
K. J. Somaiya Medical College & Research Centre,19.0470782,72.8748037
Dilkap Schools & Colleges - Head Office,18.916904,72.8172761
